127.0.0.1 - - [27/Sep/2023:14:32:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/ HTTP/1.1" 200 5197
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/css/main.css HTTP/1.1" 200 3367
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/js/main.js HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC2.jpeg HTTP/1.1" 200 232763
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC1.jpg HTTP/1.1" 200 85587
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC4.jpg HTTP/1.1" 200 142669
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/img/%EC%88%98%EC%A0%95left.png HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC3.jpg HTTP/1.1" 200 69862
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/img/%EC%88%98%EC%A0%95right.png HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC6.jpg HTTP/1.1" 200 199172
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC7.png HTTP/1.1" 200 423141
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/img/search%20(2).png HTTP/1.1" 200 9914
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/img/home.png HTTP/1.1" 200 19618
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC5.jpg HTTP/1.1" 200 199262
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC8.jpg HTTP/1.1" 200 21461
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC9.jpg HTTP/1.1" 200 423898
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:14 +0900] "GET /whereismyhome-s10-d06-backend/member?action=mvLogin HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:14 +0900] "GET /whereismyhome-s10-d06-backend/css/login.css HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:14 +0900] "GET /whereismyhome-s10-d06-backend/js/login.js HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:19 +0900] "POST /whereismyhome-s10-d06-backend/member?action=login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:19 +0900] "GET /whereismyhome-s10-d06-backend/ HTTP/1.1" 200 5197
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:19 +0900] "GET /whereismyhome-s10-d06-backend/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:19 +0900] "GET /whereismyhome-s10-d06-backend/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:19 +0900] "GET /whereismyhome-s10-d06-backend/img/%EC%88%98%EC%A0%95left.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:19 +0900] "GET /whereismyhome-s10-d06-backend/img/%EC%88%98%EC%A0%95right.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:32:19 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC1.jpg HTTP/1.1" 304 -
